"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel"
"AS","Alaska Airlines Inc.",2015,1074977,347425,38832,301478,5825,381417,1.71579404010418,1.72223148655061,1.25255101793962,2.10297855112271,7.19269000432179,1.52799476931492
"B6","JetBlue Airways",2007,3580607,562553,107400,1433643,6002,1471009,3.54635867939827,1.95147477700647,1.86935473146911,5.08213286493279,3.39199529800052,3.87036915860347
"B6","JetBlue Airways",2008,3337721,677621,55222,1309542,2101,1293235,3.8524911351536,2.81775983641531,1.19174304343576,5.00369466772273,1.83788795969068,4.08343895824983
"B6","JetBlue Airways",2009,2537600,711440,45380,944248,2375,834157,3.8445095272585,3.84436170999742,1.37917326798722,4.66980536279259,3.0129652652678,3.48869797229784
"B6","JetBlue Airways",2010,2717652,939197,57594,752270,3857,964734,4.29617371208706,4.88719529408214,2.0678497722974,4.63531043399894,3.59091332278186,3.87159565319447
"B6","JetBlue Airways",2011,3341555,1069602,73981,993294,3794,1200884,5.41792292365798,5.76504126691396,2.89172063651391,6.49075586102524,4.66362641820216,4.7692422864153
"B6","JetBlue Airways",2012,2772648,938191,79334,670333,4590,1080200,4.87141452282575,5.16469831530791,3.4798513911247,5.22521085724005,6.28319553194984,4.58303153152847
"B6","JetBlue Airways",2013,3602733,1074604,70959,998064,10231,1448875,5.00813607882009,5.08401966475969,2.38585573775122,5.72715713772057,9.87062353474641,4.78239149116378
"B6","JetBlue Airways",2014,3234229,951159,141661,937446,8216,1195747,4.59950053871071,4.47406134385015,4.73993607187681,5.67476751332618,12.5723029839327,4.05558149807706
"B6","JetBlue Airways",2015,3610200,1074056,115770,991461,11417,1417496,5.76231830409779,5.32423706272893,3.73423545907679,6.91599790788938,14.0976724084707,5.67863119243459
"CO","Continental Air Lines Inc.",2007,4797086,906231,215107,2177161,16132,1482455,4.75120212073538,3.14368057523709,3.74405296296206,7.71783593987481,9.11690572264985,3.90048470880702
"CO","Continental Air Lines Inc.",2008,4379554,996161,200282,1917507,11392,1254212,5.05500398653048,4.14234868223287,4.32227518426352,7.32669861006444,9.96535917981735,3.96022234373833
"CO","Continental Air Lines Inc.",2009,2930515,703842,146359,1366678,10830,702806,4.4397828015739,3.80330489526595,4.44809211831957,6.75894495260848,13.7391216096212,2.93934818879271
"CO","Continental Air Lines Inc.",2010,2076570,619333,99141,845883,18615,493598,3.28272547232266,3.22275446266308,3.55954950646486,5.21213167591732,17.3307885671725,1.98086920459472
"CO","Continental Air Lines Inc.",2011,2631192,795418,118386,1084607,7280,625501,4.26615616183049,4.28721860509439,4.6273940508284,7.08744766620859,8.94865585780487,2.48414153190071
